nationality,gender,age,salary
Cambodian,Male,36,878
Black or African American,Male,36,718
Bangladeshi,Female,27,659
Lumbee,Female,54,349
Yuman,Male,31,2709
Venezuelan,Male,38,2135
Aleut,Male,46,2575
Seminole,Female,45,1137
Nicaraguan,Female,36,1097
Pakistani,Male,19,51
Chippewa,Female,14,1194
Shoshone,Male,31,294
Choctaw,Female,23,281
Colombian,Female,30,3164
Eskimo,Male,38,972
Samoan,Female,22,3086
Cherokee,Female,33,655
Blackfeet,Polygender,39,141
American Indian,Female,29,691
Eskimo,Male,31,1627
Laotian,Female,21,829
Salvadoran,Female,47,2666
Tongan,Genderqueer,50,2644
Latin American Indian,Male,14,1766
Latin American Indian,Female,39,140
Costa Rican,Male,18,1667
Puget Sound Salish,Female,29,1061
Tohono O'Odham,Female,21,3033
Delaware,Female,49,2242
Costa Rican,Female,16,531
Eskimo,Female,24,370
Colombian,Agender,43,1658
Chinese,Male,49,109
Asian Indian,Female,38,219
Korean,Agender,51,1939
Chickasaw,Male,28,333
American Indian,Female,41,2710
Salvadoran,Male,34,435
Iroquois,Genderfluid,33,2697
Korean,Non-binary,47,830
Tohono O'Odham,Male,50,1302
Nicaraguan,Female,50,964
Blackfeet,Male,37,1821
Menominee,Male,14,2205
Bangladeshi,Male,28,931
Bangladeshi,Male,48,1934
Peruvian,Male,22,468
Laotian,Female,41,1850
Paiute,Male,43,1489
Choctaw,Male,35,990
Samoan,Male,51,349
Pueblo,Female,40,476
Yakama,Female,36,84
Panamanian,Male,22,3030
Delaware,Male,35,2488
Mexican,Female,53,1534
Menominee,Male,31,1492
Mexican,Female,24,1092
Houma,Female,47,1929
Guamanian,Female,17,2067
Cambodian,Female,16,475
Lumbee,Male,20,1923
Alaskan Athabascan,Female,43,2159
Central American,Male,23,2910
Salvadoran,Male,46,616
Cree,Female,49,1494
Panamanian,Polygender,33,1504
Guamanian,Male,17,1691
Mexican,Agender,14,2318
Argentinian,Male,52,2042
Choctaw,Female,42,2695
Houma,Male,50,1419
Aleut,Female,43,1518
Honduran,Male,32,262
South American,Female,46,937
Ottawa,Female,53,2485
Dominican (Dominican Republic),Male,32,2090
Bolivian,Male,14,295
Chilean,Non-binary,51,3250
American Indian,Female,43,2511
Salvadoran,Female,40,422
Korean,Female,23,2680
Salvadoran,Male,50,1227
Paiute,Female,26,328
Cherokee,Female,54,1815
Thai,Female,19,3240
Osage,Female,48,3015
Chinese,Male,46,138
Polynesian,Female,32,2543
Tlingit-Haida,Female,40,1180
Osage,Female,44,1980
Thai,Female,20,3142
Mexican,Female,36,2783
Venezuelan,Genderfluid,49,2509
American Indian,Male,51,1822
Bolivian,Male,25,1848
Choctaw,Male,33,904
Asian Indian,Polygender,53,740
Chickasaw,Male,28,1837
Guamanian,Female,31,185
Dominican (Dominican Republic),Male,49,2827
Creek,Male,31,1198
Micronesian,Female,51,3117
Argentinian,Female,25,234
Peruvian,Non-binary,46,1044
Ecuadorian,Male,33,3047
Central American,Female,21,3155
Lumbee,Female,19,179
Chamorro,Male,46,3199
Yuman,Polygender,27,69
Melanesian,Genderfluid,23,2511
Comanche,Male,29,2851
Yuman,Female,43,1325
Asian,Female,26,1797
Puget Sound Salish,Polygender,24,422
Seminole,Female,52,777
Asian Indian,Male,25,384
Delaware,Male,19,2536
Native Hawaiian and Other Pacific Islander (NHPI),Male,54,1564
Apache,Male,33,1207
Ottawa,Female,38,39
Fijian,Male,22,3073
Pima,Male,22,675
Micronesian,Female,38,1306
Chickasaw,Female,48,1602
Sioux,Female,41,2303
Cambodian,Polygender,46,1636
American Indian and Alaska Native (AIAN),Female,22,2129
Iroquois,Female,35,389
Filipino,Male,37,1299
Alaska Native,Non-binary,29,221
Mexican,Female,19,776
Cambodian,Male,22,2267
Sioux,Female,50,2285
Bolivian,Male,28,3242
Seminole,Female,14,804
Cuban,Male,27,840
Mexican,Female,31,3234
Micronesian,Female,52,2051
Chilean,Female,25,649
Polynesian,Agender,51,2010
Mexican,Male,37,3066
Ottawa,Female,31,3181
Japanese,Male,42,185
Samoan,Female,43,2420
American Indian,Female,28,2817
Pueblo,Male,53,1552
Black or African American,Male,31,1288
Yuman,Female,25,549
Pueblo,Male,36,468
White,Male,42,1286
Houma,Male,27,475
Tongan,Female,38,285
Alaskan Athabascan,Female,49,144
Yuman,Male,51,448
Iroquois,Female,20,2533
Yuman,Male,48,216
Honduran,Female,45,899
Cambodian,Female,47,2349
Central American,Agender,24,408
Tlingit-Haida,Male,50,341
Native Hawaiian,Male,18,825
Chinese,Female,28,1803
Chickasaw,Female,35,2754
Thai,Male,18,966
Aleut,Male,48,2403
Spaniard,Male,34,254
Melanesian,Male,32,2194
Korean,Male,21,1008
Tlingit-Haida,Female,36,1695
Aleut,Female,48,605
Tlingit-Haida,Female,25,2572
Melanesian,Female,23,2835
Eskimo,Male,53,2203
Peruvian,Female,44,57
American Indian,Female,53,251
Costa Rican,Male,22,2025
Eskimo,Male,20,2533
Korean,Male,22,1646
Costa Rican,Polygender,41,1012
Thai,Female,14,101
Taiwanese,Male,22,1990
Filipino,Female,19,3047
Latin American Indian,Female,51,691
Paraguayan,Male,35,3193
Peruvian,Female,23,1157
Salvadoran,Female,46,1677
Choctaw,Male,34,2396
Colombian,Non-binary,38,3001
Costa Rican,Female,34,2444
Micronesian,Female,28,1439
Filipino,Male,23,2746
Creek,Female,50,2270
Nicaraguan,Female,40,3047
Pakistani,Female,27,1371
Uruguayan,Female,31,2299
Yakama,Female,54,705
Potawatomi,Female,24,1553
Pakistani,Male,18,2066
Yaqui,Female,28,562
Korean,Female,51,3146
Colombian,Non-binary,35,3105
Kiowa,Female,45,1341
Hmong,Male,43,908
Yuman,Female,49,2382
Pueblo,Male,45,953
Cheyenne,Female,50,1459
Polynesian,Male,45,556
Spaniard,Female,34,2852
Creek,Female,14,3153
Spaniard,Male,44,1521
Central American,Male,20,3173
Polynesian,Male,45,2255
Indonesian,Male,15,1326
Crow,Bigender,30,2815
Asian,Female,51,2007
Korean,Male,47,1095
Latin American Indian,Female,27,1711
Menominee,Male,41,749
Colville,Female,20,1944
Venezuelan,Female,33,1045
Yaqui,Female,53,2620
Latin American Indian,Female,30,250
Shoshone,Female,55,1811
South American,Female,42,2197
Filipino,Male,43,1479
Lumbee,Female,19,690
Sri Lankan,Male,38,560
Paiute,Female,27,2889
Native Hawaiian and Other Pacific Islander (NHPI),Female,40,184
Spaniard,Female,37,3058
American Indian,Non-binary,52,306
Yakama,Bigender,14,1567
Guatemalan,Male,43,211
Ottawa,Female,51,2956
Yuman,Male,51,1038
Comanche,Male,20,3133
Chinese,Male,53,42
Chickasaw,Male,49,389
Latin American Indian,Female,35,1514
Chippewa,Male,32,1930
Cherokee,Female,54,2343
Blackfeet,Female,28,799
Korean,Male,43,3253
Osage,Male,41,663
Comanche,Female,34,260
Seminole,Male,37,3088
Crow,Non-binary,30,2904
Korean,Female,44,270
Cree,Female,46,1723
Spaniard,Female,23,2080
Potawatomi,Male,44,2857
Creek,Female,47,137
Samoan,Female,36,2571
Spaniard,Female,38,2271
Spaniard,Female,31,1771
Blackfeet,Male,30,725
Menominee,Female,24,132
Laotian,Female,22,1763
Polynesian,Male,47,2923
South American,Female,46,202
Menominee,Female,19,1804
Ottawa,Female,37,201
Guatemalan,Male,34,3154
Shoshone,Male,27,482
Blackfeet,Male,19,1846
Alaskan Athabascan,Male,43,2587
Dominican (Dominican Republic),Male,44,833
Chickasaw,Male,38,2708
Shoshone,Female,44,1389
Apache,Male,54,1517
American Indian and Alaska Native (AIAN),Female,35,1898
Alaska Native,Male,23,1242
Ottawa,Female,19,2854
Cuban,Male,38,189
Tohono O'Odham,Female,22,709
Iroquois,Female,16,2811
Micronesian,Male,31,115
Filipino,Male,15,1829
Pima,Male,41,1284
Choctaw,Male,41,1357
Laotian,Female,49,1449
Pima,Male,35,327
Blackfeet,Male,25,2428
Dominican (Dominican Republic),Polygender,22,1089
Comanche,Female,51,2822
Tlingit-Haida,Male,53,493
South American,Male,42,87
Mexican,Male,41,455
Tohono O'Odham,Male,15,2679
Comanche,Male,31,304
Cambodian,Male,45,175
Yaqui,Bigender,34,926
Cheyenne,Female,35,2815
Sioux,Female,54,1344
Chinese,Male,29,2279
Aleut,Genderqueer,17,1214
Cuban,Female,33,658
Comanche,Female,48,2687
Honduran,Genderqueer,33,3159
Thai,Male,38,2889
Creek,Male,45,924
Alaskan Athabascan,Male,29,2240
Dominican (Dominican Republic),Female,21,1948
Nicaraguan,Male,36,1567
Asian,Male,45,229
Colville,Female,51,2441
Guamanian,Male,20,1809
Samoan,Male,17,1486
Chinese,Female,22,3034
Ecuadorian,Female,33,642
Vietnamese,Male,54,340
Sioux,Female,27,316
Honduran,Male,36,1208
Ottawa,Male,52,2004
American Indian and Alaska Native (AIAN),Male,41,2239
Alaska Native,Male,24,2831
Melanesian,Polygender,20,640
Argentinian,Male,34,1666
Filipino,Male,52,3049
Japanese,Male,36,222
Asian Indian,Male,54,1710
Hmong,Female,43,1244
Asian Indian,Agender,24,2795
Samoan,Male,50,1994
Cherokee,Genderfluid,49,2346
Central American,Female,28,1923
Guatemalan,Female,27,2724
Delaware,Male,50,2554
Ottawa,Female,17,461
American Indian,Male,31,747
Osage,Male,39,2247
Colombian,Male,42,1906
Cuban,Female,45,1273
Native Hawaiian,Female,30,1695
Cree,Male,19,1318
Micronesian,Male,52,562
Yaqui,Male,33,1710
Alaska Native,Male,40,1266
Cuban,Female,46,3033
Alaska Native,Bigender,23,176
Ottawa,Polygender,51,2451
Cuban,Male,17,2056
Puget Sound Salish,Female,47,504
Japanese,Female,47,1504
Asian,Female,20,2907
Native Hawaiian,Male,45,1408
Spaniard,Agender,29,2564
Potawatomi,Female,48,1926
Sri Lankan,Female,34,2782
Salvadoran,Male,31,1116
Lumbee,Female,31,2464
South American,Male,28,1896
Navajo,Genderfluid,28,2680
Lumbee,Female,31,1173
Chamorro,Male,28,1204
Guamanian,Male,20,2836
South American,Genderqueer,48,2968
Honduran,Male,39,3167
Guatemalan,Male,33,1339
Mexican,Polygender,44,1954
Hmong,Male,22,1267
Asian Indian,Male,45,81
Vietnamese,Male,19,1216
Potawatomi,Female,45,2973
Hmong,Female,52,1750
Mexican,Male,40,964
Tlingit-Haida,Male,39,1454
Fijian,Male,43,1335
Chilean,Female,16,1498
Japanese,Female,32,366
Panamanian,Male,24,139
Taiwanese,Male,28,474
Pakistani,Male,53,60
Navajo,Female,33,1727
Aleut,Male,50,2110
Filipino,Female,34,3244
Osage,Male,30,1989
Dominican (Dominican Republic),Female,51,3095
Indonesian,Male,14,325
Paiute,Female,43,317
Chilean,Male,38,1733
Guamanian,Female,41,1591
Paraguayan,Female,14,3021
Comanche,Female,25,2484
Peruvian,Female,36,2075
Cheyenne,Genderfluid,47,2790
Tohono O'Odham,Male,31,2635
Laotian,Female,28,1717
Bolivian,Female,35,2249
Mexican,Male,45,2396
Comanche,Male,36,736
Nicaraguan,Male,36,1973
Latin American Indian,Female,50,1192
Sri Lankan,Female,30,929
Hmong,Male,50,2862
Chinese,Male,47,1606
Asian Indian,Male,29,2432
Panamanian,Female,47,3098
Chickasaw,Male,16,199
Creek,Male,46,2512
Ecuadorian,Female,49,1244
Paraguayan,Female,22,2699
Bangladeshi,Female,14,2548
Pima,Male,50,596
Comanche,Male,37,971
Cherokee,Male,53,2873
Peruvian,Male,47,110
Blackfeet,Female,25,2615
Guatemalan,Female,24,899
Asian Indian,Female,53,2030
Native Hawaiian and Other Pacific Islander (NHPI),Male,34,1250
Micronesian,Male,36,2204
Chickasaw,Male,46,57
Mexican,Female,21,280
Indonesian,Female,52,925
Filipino,Male,17,230
Peruvian,Male,22,2600
Apache,Female,22,395
Choctaw,Female,20,278
Asian Indian,Male,35,1324
Fijian,Male,32,2410
Guamanian,Male,44,2836
Chinese,Female,15,85
Tlingit-Haida,Male,50,1140
Honduran,Male,35,2395
Honduran,Female,26,1220
Cuban,Female,32,1617
Creek,Male,28,1167
American Indian,Female,14,2642
Bolivian,Female,55,713
Polynesian,Female,25,2979
Chilean,Male,34,1050
Asian Indian,Male,41,967
Costa Rican,Female,37,2561
Korean,Female,18,985
Honduran,Female,48,1309
Eskimo,Male,14,1348
Nicaraguan,Polygender,45,1605
Pima,Female,14,1256
Cherokee,Female,48,2374
Blackfeet,Female,32,916
Pueblo,Female,28,2376
Salvadoran,Male,52,1309
Bolivian,Male,25,458
Latin American Indian,Female,42,2061
Chilean,Male,20,1349
Tongan,Female,15,1556
Crow,Male,17,1215
Cheyenne,Female,53,1978
Uruguayan,Male,54,1981
Samoan,Agender,42,2569
Comanche,Male,34,1385
Bolivian,Non-binary,22,2287
Paraguayan,Male,30,3236
Salvadoran,Female,19,3247
American Indian and Alaska Native (AIAN),Bigender,14,3133
Asian,Female,23,1471
Blackfeet,Male,54,3113
Yuman,Male,27,437
Yuman,Female,51,947
Ute,Female,31,1216
Menominee,Female,14,367
Iroquois,Male,48,3139
Puget Sound Salish,Non-binary,46,2510
Spaniard,Female,20,2050
Delaware,Female,53,588
Comanche,Female,52,1966
Tongan,Female,50,944
American Indian and Alaska Native (AIAN),Female,37,1210
Eskimo,Female,24,812
Guatemalan,Male,49,524
Comanche,Male,48,1382
Pueblo,Female,27,2683
Chinese,Bigender,45,2868
White,Female,51,1172
Chinese,Male,21,444
Apache,Male,40,1498
Bolivian,Female,31,318
Samoan,Female,53,1758
Melanesian,Female,20,3053
Aleut,Male,27,2509
Blackfeet,Male,37,1597
Guamanian,Male,46,120
Tongan,Female,44,2538
Ottawa,Female,44,1832
Guatemalan,Male,41,2484
Guamanian,Genderfluid,21,780
Fijian,Female,49,264
Alaskan Athabascan,Female,37,2134
Pakistani,Male,36,1209
Bangladeshi,Female,52,2997
Micronesian,Female,48,1625
Sioux,Male,40,1792
Thai,Female,53,2518
Puerto Rican,Female,29,1861
Cambodian,Female,30,86
Bangladeshi,Female,40,3132
Thai,Male,50,1989
Eskimo,Female,41,734
Kiowa,Male,17,512
Spaniard,Male,33,350
Yuman,Male,33,1669
Paiute,Female,17,478
Cherokee,Female,36,1524
Native Hawaiian,Male,28,1911
Shoshone,Male,50,467
Vietnamese,Male,18,3198
Ottawa,Female,23,1401
Osage,Female,55,2658
Melanesian,Bigender,34,738
Vietnamese,Male,54,2808
Uruguayan,Female,42,274
Taiwanese,Male,41,343
American Indian,Male,20,3024
Spaniard,Female,28,377
Chippewa,Female,38,2706
Panamanian,Male,39,400
Alaskan Athabascan,Female,37,150
Black or African American,Male,42,1991
Ottawa,Female,42,1244
Black or African American,Female,33,1933
Delaware,Female,51,1753
Native Hawaiian and Other Pacific Islander (NHPI),Female,55,1466
Alaska Native,Female,43,2478
Colombian,Male,36,554
Sioux,Male,18,887
Laotian,Female,27,3204
Pueblo,Female,46,799
American Indian and Alaska Native (AIAN),Non-binary,47,129
Delaware,Male,49,2273
Chamorro,Non-binary,14,371
Micronesian,Female,30,1828
Japanese,Female,48,546
Lumbee,Female,35,82
Panamanian,Female,55,2197
Alaskan Athabascan,Female,41,1104
Native Hawaiian,Male,32,1023
Guatemalan,Male,43,3005
Chamorro,Female,14,2975
Salvadoran,Male,37,481
Creek,Female,36,1811
Uruguayan,Male,30,2483
Spaniard,Female,23,2781
Yaqui,Genderfluid,15,759
Chippewa,Male,27,2567
Creek,Female,18,2024
South American,Male,47,2021
Chickasaw,Female,26,1955
Asian Indian,Female,32,1451
Costa Rican,Female,35,2818
Yakama,Male,48,1763
Tongan,Male,47,853
Spaniard,Male,31,2555
Yuman,Non-binary,40,2326
Sioux,Male,20,347
Native Hawaiian,Female,19,771
Ottawa,Female,26,2167
Native Hawaiian,Male,39,265
White,Male,41,1550
Native Hawaiian and Other Pacific Islander (NHPI),Female,38,2811
Chilean,Male,18,1582
Native Hawaiian and Other Pacific Islander (NHPI),Female,31,2914
Panamanian,Male,53,636
Malaysian,Female,42,2583
Latin American Indian,Female,44,2457
Nicaraguan,Male,39,2849
Osage,Male,18,1639
Pima,Male,38,984
Malaysian,Male,16,1279
Shoshone,Male,44,1656
Pueblo,Female,28,1783
Shoshone,Genderfluid,14,800
Tlingit-Haida,Agender,33,283
Eskimo,Male,41,833
Paiute,Male,36,213
Mexican,Male,37,72
Chinese,Female,22,585
Melanesian,Male,35,742
Hmong,Male,34,1055
Chilean,Male,48,1027
Native Hawaiian,Male,18,2349
Chippewa,Male,29,1642
Polynesian,Male,34,2225
Peruvian,Female,19,2710
Chinese,Male,45,1170
Aleut,Female,32,367
American Indian and Alaska Native (AIAN),Male,24,2321
Native Hawaiian and Other Pacific Islander (NHPI),Female,28,1257
Hmong,Male,49,3073
Taiwanese,Male,52,332
Puget Sound Salish,Male,24,349
Sri Lankan,Male,30,1287
Pueblo,Genderqueer,25,2080
Cherokee,Genderqueer,40,1640
Puget Sound Salish,Female,50,663
Panamanian,Male,18,2269
Alaska Native,Male,16,1588
Yuman,Female,20,1575
Puerto Rican,Polygender,28,1733
Apache,Male,35,2701
South American,Female,46,920
Pueblo,Female,35,2896
Latin American Indian,Female,45,1535
Comanche,Male,36,1298
Cambodian,Male,54,1872
Delaware,Male,26,1837
Osage,Female,43,2190
White,Female,48,3189
Asian Indian,Female,53,1506
Costa Rican,Genderfluid,21,757
